model,cv_acc_mean,cv_acc_std,cv_f1_mean,cv_f1_std,test_acc,test_macro_f1,test_mse,test_rmse
RandomForest,0.5581818181818182,0.11348717479510714,0.5199999999999999,0.08505833665738256,0.5,0.4222222222222222,0.8,0.8944271909999159
HistGradientBoosting,0.5763636363636364,0.10214234112864101,0.501024531024531,0.12217153118263983,0.4,0.24242424242424243,1.5,1.224744871391589
LogisticRegression,0.5036363636363637,0.16176710123298343,0.4844444444444444,0.1431307784967525,0.6,0.5333333333333333,1.0,1.0
RandomForest (Tuned),0.5058238058238058,0.0,0.5058238058238058,0.0,0.5,0.4222222222222222,0.8,0.8944271909999159
HistGradientBoosting (Tuned),0.16666666666666666,0.0,0.16666666666666666,0.0,0.5,0.2777777777777778,1.4,1.1832159566199232
